recebidoEm,dispositivo,seq,ts,latenciaMs,perdidas,estado,pir,temperatura,umidade,lux,luz,hvac
1790175905663,sala01,135,1790175905662,1,0,DESOCUPADO,0,28,55,120,0,0
1790175907684,sala01,136,1790175907682,2,0,DESOCUPADO,0,28,55,120,0,0
1790175909703,sala01,137,1790175909702,1,0,DESOCUPADO,0,28,55,120,0,0
1790175911719,sala01,138,1790175911718,1,0,DESOCUPADO,0,28,55,120,0,0
1790175913737,sala01,139,1790175913736,1,0,DESOCUPADO,0,28,55,120,0,0
1790175915757,sala01,140,1790175915755,2,0,DESOCUPADO,0,28,55,120,0,0
1790175917773,sala01,141,1790175917773,0,0,DESOCUPADO,0,28,55,120,0,0
1790175919789,sala01,142,1790175919788,1,0,DESOCUPADO,0,28,55,120,0,0
1790175921807,sala01,143,1790175921806,1,0,DESOCUPADO,0,28,55,120,0,0
1790175923823,sala01,144,1790175923822,1,0,DESOCUPADO,0,28,55,120,0,0
1790175925844,sala01,145,1790175925843,1,0,DESOCUPADO,0,28,55,120,0,0
1790175927864,sala01,146,1790175927863,1,0,DESOCUPADO,0,28,55,120,0,0
1790175929881,sala01,147,1790175929880,1,0,DESOCUPADO,0,28,55,120,0,0
